recording_id,location_id,window_index,window_start,window_end,frame_start,frame_end,frame_count,avg_vehicle_count,min_vehicle_count,max_vehicle_count,avg_speed,min_speed,slow_frame_ratio,avg_slow_count,avg_helper_count,avg_neighbor_count,triggerable_frame_ratio
1,2,0,5,250,5,250,50,12.08,6,14,34.20140348188669,22.170225528848373,0.0,0.0,8.66,10.223894993894994,0.0
1,2,1,130,375,130,375,50,9.38,6,14,33.87497206328922,22.170225528848373,0.0,0.0,7.16,7.182509157509157,0.0
1,2,2,255,500,255,500,50,9.62,7,13,31.853077636089118,24.14,0.0,0.0,7.26,7.810409035409035,0.0
1,2,3,380,625,380,625,50,11.42,10,13,30.732908559095364,22.63014140477253,0.0,0.0,7.82,9.996573426573427,0.0
1,2,4,505,750,505,750,50,12.26,11,14,30.28001837715314,21.89,0.0,0.0,8.9,10.391665001665,0.0
1,2,5,630,875,630,875,50,11.6,9,14,29.925835636652657,21.89,0.0,0.0,8.58,9.640595848595849,0.0
1,2,6,755,1000,755,1000,50,11.56,9,15,30.617285275574265,22.04002041741341,0.0,0.0,7.56,9.888034410034411,0.0
1,2,7,880,1125,880,1125,50,15.38,11,20,31.95338476447365,22.46,0.0,0.0,10.14,13.329140533185424,0.0
1,2,8,1005,1250,1005,1250,50,17.34,15,20,33.16619143174782,22.46,0.0,0.0,12.54,15.113350361197114,0.0
1,2,9,1130,1375,1130,1375,50,16.78,15,20,32.395902390550695,22.330143304511054,0.0,0.0,12.06,14.46173237014104,0.0
1,2,10,1255,1500,1255,1500,50,18.62,15,22,30.379261003779373,22.310056028616334,0.0,0.0,12.54,16.288216923771103,0.0
1,2,11,1380,1625,1380,1625,50,20.42,18,22,30.075611897864917,22.310056028616334,0.0,0.0,14.2,18.49663962937647,0.0
1,2,12,1505,1750,1505,1750,50,20.16,17,22,31.389267038602675,23.92060408936196,0.0,0.0,14.6,18.012409794539824,0.0
1,2,13,1630,1875,1630,1875,50,18.18,14,22,33.360993649687266,23.610076238758737,0.0,0.0,13.16,15.656101640018049,0.0
1,2,14,1755,2000,1755,2000,50,15.5,13,19,34.2975877866316,23.610076238758737,0.0,0.0,11.04,13.470374355950208,0.0
1,2,15,1880,2125,1880,2125,50,14.26,11,18,34.36115695793701,24.890050220921612,0.0,0.0,9.26,12.506620340443872,0.0
1,2,16,2005,2250,2005,2250,50,12.82,10,18,34.184094043832566,22.68407591241045,0.0,0.0,8.42,10.946014945838476,0.0
1,2,17,2130,2375,2130,2375,50,11.48,10,13,33.16659850329856,22.68407591241045,0.0,0.0,8.02,9.47909557109557,0.0
1,2,18,2255,2500,2255,2500,50,10.08,6,12,32.78307707706318,22.87010712699003,0.0,0.0,6.66,8.506588744588745,0.0
1,2,19,2380,2625,2380,2625,50,7.98,6,11,31.66199759258763,22.911257058485464,0.0,0.0,4.64,6.354770562770564,0.0
1,2,20,2505,2750,2505,2750,50,7.42,6,9,31.61975082681753,22.911257058485464,0.0,0.0,4.46,5.5744444444444445,0.0
1,2,21,2630,2875,2630,2875,50,10.04,6,15,34.564787719312584,23.300077253090816,0.0,0.0,7.0,8.451409257409257,0.0
1,2,22,2755,3000,2755,3000,50,12.9,9,15,35.7713642223834,23.550477702161373,0.0,0.0,9.4,11.250693750693749,0.0
1,2,23,2880,3125,2880,3125,50,11.0,6,15,35.84233160238296,23.700018987334165,0.0,0.0,8.5,9.436692307692306,0.0
1,2,24,3005,3250,3005,3250,50,7.28,4,13,34.36859234606518,23.968020360471993,0.0,0.0,5.36,5.389471306471307,0.0
1,2,25,3130,3375,3130,3375,50,9.88,4,17,32.98012546527269,23.968020360471993,0.0,0.0,6.06,7.577771708683472,0.0
1,2,26,3255,3500,3255,3500,50,16.5,9,20,32.8427404454466,24.021750560689785,0.0,0.0,10.66,14.677497002309696,0.0
1,2,27,3380,3625,3380,3625,50,16.08,9,20,32.15537977346834,24.332517337916354,0.0,0.0,11.04,14.478339650030053,0.0
1,2,28,3505,3750,3505,3750,50,10.9,8,19,31.55179434495965,23.570002121340593,0.0,0.0,7.78,9.062217531007006,0.0
1,2,29,3630,3875,3630,3875,50,11.2,8,17,32.614753520858585,22.980106614200032,0.0,0.0,8.0,9.474289540524834,0.0
1,2,30,3755,4000,3755,4000,50,14.82,11,17,32.67713186949861,22.860107173852008,0.0,0.0,10.76,13.317737252943136,0.0
1,2,31,3880,4125,3880,4125,50,15.48,13,17,31.59181419937887,21.480002327746615,0.0,0.0,11.16,13.504393988364576,0.0
1,2,32,4005,4250,4005,4250,50,16.6,13,21,30.116412557036593,21.290115077190165,0.0,0.0,11.72,14.009075397770445,0.0
1,2,33,4130,4375,4130,4375,50,19.3,15,21,29.63709401919778,21.250150587701725,0.0,0.0,14.46,17.047097375792422,0.0
1,2,34,4255,4500,4255,4500,50,19.9,18,22,29.903586715919676,21.04,0.0,0.0,16.2,17.92030530872636,0.0
1,2,35,4380,4625,4380,4625,50,21.42,18,24,29.780794834058938,21.000859506220216,0.0,0.0,17.56,19.198029193537206,0.0
1,2,36,4505,4750,4505,4750,50,22.06,19,24,29.426520983371724,21.000859506220216,0.0,0.0,17.12,20.127603128374293,0.0
1,2,37,4630,4875,4630,4875,50,21.06,19,24,28.29110697319499,21.460002329915998,0.0,0.0,16.3,19.043001773207724,0.0
1,2,38,4755,5000,4755,5000,50,20.72,18,24,27.34675507224932,21.84074174564591,0.0,0.0,16.56,18.242561581820166,0.0
1,2,39,4880,5125,4880,5125,50,20.14,18,22,27.332515445880738,21.84074174564591,0.0,0.0,14.82,17.904095693779905,0.0
1,2,40,5005,5250,5005,5250,50,19.8,17,22,26.897098389960785,22.580079716422613,0.0,0.0,12.64,17.577453044375645,0.0
1,2,41,5130,5375,5130,5375,50,19.14,16,22,26.42504324851449,22.580079716422613,0.0,0.0,11.56,16.666001820504917,0.0
1,2,42,5255,5500,5255,5500,50,20.14,16,23,26.272324058426864,22.630373395063547,0.0,0.0,13.76,17.7139304318496,0.0
1,2,43,5380,5625,5380,5625,50,20.92,19,23,26.284956672273914,23.160002158894546,0.0,0.0,16.38,18.963149712225228,0.0
1,2,44,5505,5750,5505,5750,50,18.92,15,22,26.57002591739135,21.57014835368547,0.0,0.0,15.06,17.092779260986692,0.0
1,2,45,5630,5875,5630,5875,50,16.04,14,20,27.72867712995797,21.57014835368547,0.0,0.0,12.3,13.887402181925403,0.0
1,2,46,5755,6000,5755,6000,50,15.3,13,20,29.186402831218782,20.680154738299226,0.0,0.0,10.58,13.129815022095206,0.0
1,2,47,5880,6125,5880,6125,50,18.94,13,24,28.587645452328992,20.680154738299226,0.0,0.0,12.94,16.658942891175023,0.0
1,2,48,6005,6250,6005,6250,50,22.86,19,24,27.229641266813438,20.990192948136517,0.0,0.0,17.02,20.62974277591211,0.0
1,2,49,6130,6375,6130,6375,50,23.92,23,24,26.76127764231524,20.340353979220716,0.0,0.0,18.16,21.98804347826087,0.0
1,2,50,6255,6500,6255,6500,50,24.0,24,24,27.433981389294058,20.14008937418104,0.0,0.0,17.06,22.33666666666667,0.0
1,2,51,6380,6625,6380,6625,50,24.0,24,24,27.635996265602866,20.130062096277793,0.0,0.0,17.14,22.225,0.0
1,2,52,6505,6750,6505,6750,50,22.36,18,24,26.57687788346371,20.130062096277793,0.0,0.0,17.3,20.204186566548124,0.0
1,2,53,6630,6875,6630,6875,50,20.16,18,24,25.039572394459174,20.530547971254933,0.0,0.0,16.74,18.225116391109527,0.0
1,2,54,6755,7000,6755,7000,50,20.3,19,23,24.558339281924408,20.520477577288496,0.0,0.0,17.28,18.020758140410315,0.0
1,2,55,6880,7125,6880,7125,50,20.0,17,23,25.643477325615702,20.520477577288496,0.0,0.0,16.86,17.796021700379757,0.0
1,2,56,7005,7250,7005,7250,50,18.24,17,22,26.98033070214778,21.800277521169313,0.0,0.0,15.34,16.054045121716946,0.0
1,2,57,7130,7375,7130,7375,50,15.2,11,19,27.489999773987176,22.17,0.0,0.0,12.52,12.579246225051179,0.0
1,2,58,7255,7500,7255,7500,50,13.52,11,17,27.696519723864647,22.220009000898266,0.0,0.0,10.7,11.623094767977118,0.0
1,2,59,7380,7625,7380,7625,50,15.04,12,17,29.07306088242713,22.230002249212664,0.0,0.0,12.1,13.631273109243695,0.0
1,2,60,7505,7750,7505,7750,50,14.0,8,17,30.794790533022898,22.230002249212664,0.0,0.0,11.78,12.15635382591265,0.0
1,2,61,7630,7875,7630,7875,50,10.32,8,14,30.386946141950837,22.391395668872452,0.0,0.0,9.5,7.9934476634476646,0.0
1,2,62,7755,8000,7755,8000,50,11.14,8,16,29.670930069387207,23.010078226724918,0.0,0.0,10.2,9.356089743589743,0.0
1,2,63,7880,8125,7880,8125,50,16.56,12,22,30.152424969663155,22.630019885099525,0.0,0.0,13.78,14.610697736388138,0.0
1,2,64,8005,8250,8005,8250,50,18.98,16,22,30.133854850125044,22.600055309666836,0.0,0.0,14.42,16.614975627571603,0.0
1,2,65,8130,8375,8130,8375,50,21.06,17,24,29.695586922331913,22.600055309666836,0.0,0.0,15.46,18.795649020054594,0.0
1,2,66,8255,8500,8255,8500,50,23.8,21,24,29.27302630428185,22.61,0.0,0.0,18.38,21.766948051948052,0.0
1,2,67,8380,8625,8380,8625,50,24.0,24,24,29.109555043969358,22.49002000888394,0.0,0.0,19.02,22.45833333333333,0.0
1,2,68,8505,8750,8505,8750,50,22.88,18,24,28.561227622017057,22.120009041589473,0.0,0.0,17.84,20.383354902407536,0.0
1,2,69,8630,8875,8630,8875,50,19.72,15,24,28.127462795047418,22.12,0.0,0.0,15.46,16.994682903783524,0.0
1,2,70,8755,9000,8755,9000,50,18.62,15,21,28.787425872832692,22.12,0.0,0.0,15.64,16.638048675610595,0.0
